"ID";"AdmArea";"Year";"global_id";"Month";"Calls";
"1";"Центральный административный округ";"2015";"37153160";"Январь";"408";
"2";"Северный административный округ";"2015";"37153161";"Январь";"408";
"3";"Северо-Восточный административный округ";"2015";"37153162";"Январь";"445";
"4";"Восточный административный округ";"2015";"37153163";"Январь";"619";
"5";"Юго-Восточный административный округ";"2015";"37153164";"Январь";"541";
"6";"Южный административный округ";"2015";"37153165";"Январь";"549";
"7";"Юго-Западный административный округ";"2015";"37153166";"Январь";"461";
"8";"Западный административный округ";"2015";"37153168";"Январь";"479";
"9";"Северо-Западный административный округ";"2015";"37153169";"Январь";"379";
"10";"Зеленоградский административный округ";"2015";"37153170";"Январь";"128";
"11";"Троицкий и Новомосковский административные округа";"2015";"37153171";"Январь";"272";
"12";"Центральный административный округ";"2015";"37153172";"Февраль";"220";
"13";"Северный административный округ";"2015";"37153173";"Февраль";"227";
"14";"Северо-Восточный административный округ";"2015";"37153174";"Февраль";"237";
"15";"Восточный административный округ";"2015";"37153175";"Февраль";"330";
"16";"Юго-Восточный административный округ";"2015";"37153176";"Февраль";"288";
"17";"Южный административный округ";"2015";"37153177";"Февраль";"282";
"18";"Юго-Западный административный округ";"2015";"37153178";"Февраль";"261";
"19";"Западный административный округ";"2015";"37153179";"Февраль";"290";
"20";"Северо-Западный административный округ";"2015";"37153180";"Февраль";"220";
"21";"Зеленоградский административный округ";"2015";"37153181";"Февраль";"52";
"22";"Троицкий и Новомосковский административные округа";"2015";"37153182";"Февраль";"128";
"23";"Центральный административный округ";"2015";"37153183";"Март";"533";
"24";"Северный административный округ";"2015";"37153184";"Март";"516";
"25";"Северо-Восточный административный округ";"2015";"37153185";"Март";"572";
"26";"Восточный административный округ";"2015";"37153186";"Март";"775";
"27";"Юго-Восточный административный округ";"2015";"37153187";"Март";"675";
"28";"Южный административный округ";"2015";"37153188";"Март";"748";
"29";"Юго-Западный административный округ";"2015";"37153189";"Март";"554";
"30";"Западный административный округ";"2015";"37153190";"Март";"699";
"31";"Северо-Западный административный округ";"2015";"37153191";"Март";"522";
"32";"Зеленоградский административный округ";"2015";"37153192";"Март";"161";
"33";"Троицкий и Новомосковский административные округа";"2015";"37153193";"Март";"337";
"34";"Центральный административный округ";"2015";"37153194";"Апрель";"568";
"35";"Северный административный округ";"2015";"37153195";"Апрель";"648";
"36";"Северо-Восточный административный округ";"2015";"37153196";"Апрель";"725";
"37";"Восточный административный округ";"2015";"37153197";"Апрель";"906";
"38";"Юго-Восточный административный округ";"2015";"37153198";"Апрель";"805";
"39";"Южный административный округ";"2015";"37153199";"Апрель";"989";
"40";"Юго-Западный административный округ";"2015";"37153200";"Апрель";"699";
"41";"Западный административный округ";"2015";"37153201";"Апрель";"801";
"42";"Северо-Западный административный округ";"2015";"37153202";"Апрель";"674";
"43";"Зеленоградский административный округ";"2015";"37153203";"Апрель";"215";
"44";"Троицкий и Новомосковский административные округа";"2015";"37153204";"Апрель";"641";
"45";"Центральный административный округ";"2015";"37153205";"Май";"303";
"46";"Северный административный округ";"2015";"37153206";"Май";"317";
"47";"Северо-Восточный административный округ";"2015";"37153207";"Май";"329";
"48";"Восточный административный округ";"2015";"37153208";"Май";"452";
"49";"Юго-Восточный административный округ";"2015";"37153209";"Май";"378";
"50";"Южный административный округ";"2015";"37153210";"Май";"445";
"51";"Юго-Западный административный округ";"2015";"37153211";"Май";"330";
"52";"Западный административный округ";"2015";"37153212";"Май";"363";
"53";"Северо-Западный административный округ";"2015";"37153213";"Май";"287";
"54";"Зеленоградский административный округ";"2015";"37153214";"Май";"108";
"55";"Троицкий и Новомосковский административные округа";"2015";"37153215";"Май";"256";
"56";"Центральный административный округ";"2015";"37153216";"Июнь";"396";
"57";"Северный административный округ";"2015";"37153217";"Июнь";"432";
"58";"Северо-Восточный административный округ";"2015";"37153218";"Июнь";"465";
"59";"Восточный административный округ";"2015";"37153219";"Июнь";"507";
"60";"Юго-Восточный административный округ";"2015";"37153220";"Июнь";"485";
"61";"Южный административный округ";"2015";"37153221";"Июнь";"508";
"62";"Юго-Западный административный округ";"2015";"37153222";"Июнь";"373";
"63";"Западный административный округ";"2015";"37153223";"Июнь";"453";
"64";"Северо-Западный административный округ";"2015";"37153224";"Июнь";"340";
"65";"Зеленоградский административный округ";"2015";"37153225";"Июнь";"109";
"66";"Троицкий и Новомосковский административные округа";"2015";"37153226";"Июнь";"283";
"67";"Центральный административный округ";"2015";"37153227";"Июль";"414";
"68";"Северный административный округ";"2015";"37153228";"Июль";"389";
"69";"Северо-Восточный административный округ";"2015";"37153229";"Июль";"429";
"70";"Восточный административный округ";"2015";"37153230";"Июль";"526";
"71";"Юго-Восточный административный округ";"2015";"37153231";"Июль";"472";
"72";"Южный административный округ";"2015";"37153232";"Июль";"574";
"73";"Юго-Западный административный округ";"2015";"37153233";"Июль";"396";
"74";"Западный административный округ";"2015";"37153234";"Июль";"449";
"75";"Северо-Западный административный округ";"2015";"37153235";"Июль";"348";
"76";"Зеленоградский административный округ";"2015";"37153236";"Июль";"126";
"77";"Троицкий и Новомосковский административные округа";"2015";"37153237";"Июль";"280";
"78";"Центральный административный округ";"2015";"37153238";"Август";"385";
"79";"Северный административный округ";"2015";"37153239";"Август";"374";
"80";"Северо-Восточный административный округ";"2015";"37153240";"Август";"461";
"81";"Восточный административный округ";"2015";"37153241";"Август";"600";
"82";"Юго-Восточный административный округ";"2015";"37153242";"Август";"507";
"83";"Южный административный округ";"2015";"37153243";"Август";"542";
"84";"Юго-Западный административный округ";"2015";"37153244";"Август";"426";
"85";"Западный административный округ";"2015";"37153245";"Август";"488";
"86";"Северо-Западный административный округ";"2015";"37153246";"Август";"352";
"87";"Зеленоградский административный округ";"2015";"37153247";"Август";"112";
"88";"Троицкий и Новомосковский административные округа";"2015";"37153248";"Август";"322";
"89";"Центральный административный округ";"2015";"37153249";"Сентябрь";"400";
"90";"Северный административный округ";"2015";"37153250";"Сентябрь";"395";
"91";"Северо-Восточный административный округ";"2015";"37153251";"Сентябрь";"493";
"92";"Восточный административный округ";"2015";"37153252";"Сентябрь";"550";
"93";"Юго-Восточный административный округ";"2015";"37153253";"Сентябрь";"568";
"94";"Южный административный округ";"2015";"37153254";"Сентябрь";"561";
"95";"Юго-Западный административный округ";"2015";"37153255";"Сентябрь";"407";
"96";"Западный административный округ";"2015";"37153256";"Сентябрь";"529";
"97";"Северо-Западный административный округ";"2015";"37153257";"Сентябрь";"353";
"98";"Зеленоградский административный округ";"2015";"37153258";"Сентябрь";"111";
"99";"Троицкий и Новомосковский административные округа";"2015";"37153259";"Сентябрь";"307";
"100";"Центральный административный округ";"2015";"37153260";"Октябрь";"402";
"101";"Северный административный округ";"2015";"37153261";"Октябрь";"413";
"102";"Северо-Восточный административный округ";"2015";"37153262";"Октябрь";"504";
"103";"Восточный административный округ";"2015";"37153263";"Октябрь";"622";
"104";"Юго-Восточный административный округ";"2015";"37153264";"Октябрь";"565";
"105";"Южный административный округ";"2015";"37153265";"Октябрь";"583";
"106";"Юго-Западный административный округ";"2015";"37153266";"Октябрь";"436";
"107";"Западный административный округ";"2015";"37153267";"Октябрь";"524";
"108";"Северо-Западный административный округ";"2015";"37153268";"Октябрь";"452";
"109";"Зеленоградский административный округ";"2015";"37153269";"Октябрь";"133";
"110";"Троицкий и Новомосковский административные округа";"2015";"37153270";"Октябрь";"338";
"111";"Центральный административный округ";"2015";"59487900";"Ноябрь";"350";
"112";"Северо-Восточный административный округ";"2015";"59488792";"Ноябрь";"940";
"113";"Северо-Западный административный округ";"2015";"59491382";"Ноябрь";"320";
"114";"Юго-Восточный административный округ";"2015";"59492867";"Ноябрь";"439";
"115";"Юго-Западный административный округ";"2015";"59493393";"Ноябрь";"364";
"116";"Западный административный округ";"2015";"59493888";"Ноябрь";"440";
"117";"Восточный административный округ";"2015";"59494710";"Ноябрь";"507";
"118";"Южный административный округ";"2015";"59495276";"Ноябрь";"488";
"119";"Северный административный округ";"2015";"59495939";"Ноябрь";"374";
"120";"Зеленоградский административный округ";"2015";"59496536";"Ноябрь";"103";
"121";"Троицкий и Новомосковский административные округа";"2015";"59497256";"Ноябрь";"211";
"122";"Центральный административный округ";"2015";"62435324";"Декабрь";"359";
"123";"Северо-Восточный административный округ";"2015";"62435325";"Декабрь";"439";
"124";"Северо-Западный административный округ";"2015";"62435326";"Декабрь";"381";
"125";"Юго-Восточный административный округ";"2015";"62435327";"Декабрь";"456";
"126";"Юго-Западный административный округ";"2015";"62435328";"Декабрь";"424";
"127";"Западный административный округ";"2015";"62435329";"Декабрь";"457";
"128";"Восточный административный округ";"2015";"62435330";"Декабрь";"527";
"129";"Южный административный округ";"2015";"62435331";"Декабрь";"541";
"130";"Северный административный округ";"2015";"62435332";"Декабрь";"357";
"131";"Зеленоградский административный округ";"2015";"62435333";"Декабрь";"111";
"132";"Троицкий и Новомосковский административные округа";"2015";"62435334";"Декабрь";"261";
"133";"Центральный административный округ";"2016";"64187470";"Январь";"389";
"134";"Северо-Восточный административный округ";"2016";"64187550";"Январь";"1024";
"135";"Северо-Западный административный округ";"2016";"64187633";"Январь";"374";
"136";"Юго-Восточный административный округ";"2016";"64187801";"Январь";"529";
"137";"Юго-Западный административный округ";"2016";"64188044";"Январь";"398";
"138";"Западный административный округ";"2016";"64188201";"Январь";"460";
"139";"Восточный административный округ";"2016";"64188262";"Январь";"555";
"140";"Южный административный округ";"2016";"64188324";"Январь";"510";
"141";"Северный административный округ";"2016";"64188399";"Январь";"395";
"142";"Зеленоградский административный округ";"2016";"64188500";"Январь";"144";
"143";"Троицкий и Новомосковский административные округа ";"2016";"64188601";"Январь";"265";
"144";"Центральный административный округ";"2016";"64364589";"Февраль";"353";
"145";"Северо-Восточный административный округ";"2016";"64876912";"Февраль";"400";
"146";"Северо-Западный административный округ";"2016";"64876913";"Февраль";"359";
"147";"Юго-Восточный административный округ";"2016";"64876914";"Февраль";"470";
"148";"Юго-Западный административный округ";"2016";"64876915";"Февраль";"411";
"149";"Западный административный округ";"2016";"64876916";"Февраль";"420";
"150";"Восточный административный округ";"2016";"64876917";"Февраль";"551";
"151";"Южный административный округ";"2016";"64876918";"Февраль";"580";
"152";"Северный административный округ";"2016";"64876919";"Февраль";"369";
"153";"Зеленоградский административный округ";"2016";"64876920";"Февраль";"110";
"154";"Троицкий и Новомосковский административные округа";"2016";"64876921";"Февраль";"195";
"155";"Центральный административный округ";"2016";"167615194";"Март";"408";
"156";"Северо-Восточный административный округ";"2016";"167615203";"Март";"874";
"157";"Северно-Западный административный округ";"2016";"167615210";"Март";"392";
"158";"Юго-Восточный административный округ";"2016";"167615217";"Март";"434";
"159";"Юго-Западный административный округ";"2016";"167615222";"Март";"386";
"160";"Западный административный округ";"2016";"167615224";"Март";"486";
"161";"Восточный административный округ";"2016";"167615227";"Март";"510";
"162";"Южный административный округ";"2016";"167615266";"Март";"487";
"163";"Северный административный округ";"2016";"167615271";"Март";"387";
"164";"Зеленоградский административный округ";"2016";"167615272";"Март";"112";
"165";"Троицкий и Новомосковский административные округа";"2016";"167615275";"Март";"232";
"166";"Центральный административный округ";"2016";"169251943";"Апрель";"410";
"167";"Северо-Восточный административный округ";"2016";"169252154";"Апрель";"1225";
"168";"Северо-Западный административный округ";"2016";"169252303";"Апрель";"452";
"169";"Юго-Восточный административный округ";"2016";"169252582";"Апрель";"517";
"170";"Юго-Западный административный округ";"2016";"169327284";"Апрель";"437";
"171";"Западный административный округ";"2016";"169327285";"Апрель";"509";
"172";"Восточный административный округ";"2016";"169327286";"Апрель";"611";
"173";"Южный административный округ";"2016";"169327287";"Апрель";"685";
"174";"Северный административный округ";"2016";"169327288";"Апрель";"385";
"175";"Зеленоградский административный округ";"2016";"169327289";"Апрель";"148";
"176";"Троицкий и Новомосковский административные округа";"2016";"169327290";"Апрель";"505";
"177";"Центральный административный округ";"2016";"170688968";"Май";"420";
"178";"Северо-Восточный административный округ";"2016";"170688974";"Май";"1092";
"179";"Северо-Западный административный округ";"2016";"170688979";"Май";"451";
"180";"Юго-Восточный административный округ";"2016";"170688984";"Май";"508";
"181";"Юго-Западный административный округ";"2016";"170688989";"Май";"401";
"182";"Западный административный округ";"2016";"170688994";"Май";"518";
"183";"Восточный административный округ";"2016";"170689000";"Май";"576";
"184";"Южный административный округ";"2016";"170689004";"Май";"482";
"185";"Северный административный округ";"2016";"170689007";"Май";"410";
"186";"Зеленоградский административный округ";"2016";"170689008";"Май";"186";
"187";"Троицкий и Новомосковский административные округа";"2016";"170689009";"Май";"434";
"188";"Центральный административный округ";"2016";"171572047";"Июнь";"387";
"189";"Северо-Восточный административный округ";"2016";"171572053";"Июнь";"853";
"190";"Северо-Западный административный округ";"2016";"171572078";"Июнь";"337";
"191";"Юго-Восточный административный округ";"2016";"171572080";"Июнь";"484";
"192";"Юго-Западный административный округ";"2016";"171572081";"Июнь";"353";
"193";"Западный административный округ";"2016";"171572083";"Июнь";"433";
"194";"Восточный административный округ";"2016";"171572085";"Июнь";"541";
"195";"Южный административный округ";"2016";"171572087";"Июнь";"466";
"196";"Северный административный округ";"2016";"171572088";"Июнь";"391";
"197";"Зеленоградский административный округ";"2016";"171572092";"Июнь";"113";
"198";"Троицкий и Новомосковский административные округа";"2016";"171572094";"Июнь";"272";
"199";"Центральный административный округ";"2016";"171729187";"Июль";"427";
"200";"Северо-Восточный административный округ";"2016";"171729191";"Июль";"453";
"201";"Северо-Западный административный округ";"2016";"171729192";"Июль";"608";
"202";"Юго-Восточный административный округ";"2016";"171729193";"Июль";"545";
"203";"Юго-Западный административный округ";"2016";"171729194";"Июль";"488";
"204";"Западный административный округ";"2016";"171729195";"Июль";"400";
"205";"Восточный административный округ";"2016";"171729196";"Июль";"471";
"206";"Южный административный округ";"2016";"171729197";"Июль";"324";
"207";"Северный административный округ";"2016";"171729198";"Июль";"342";
"208";"Зеленоградский административный округ";"2016";"171729199";"Июль";"178";
"209";"Троицкий и Новомосковский административные округа";"2016";"171729200";"Июль";"365";
"210";"Центральный административный округ";"2016";"272727128";"август";"403";
"211";"Северо-Восточный административный округ";"2016";"272727132";"август";"887";
"212";"Северо-Западный административный округ";"2016";"272727137";"август";"315";
"213";"Юго-Восточный административный округ";"2016";"272727144";"август";"451";
"214";"Юго-Западный административный округ";"2016";"272727153";"август";"358";
"215";"Западный административный округ";"2016";"272727157";"август";"475";
"216";"Восточный административный округ";"2016";"272727162";"август";"481";
"217";"Южный административный округ";"2016";"272727163";"август";"445";
"218";"Северный административный округ";"2016";"272727164";"август";"305";
"219";"Зеленоградский административный округ";"2016";"272727167";"август";"109";
"220";"Троицкий и Новомосковский административные округа";"2016";"272727173";"август";"298";
"221";"Центральный административный округ";"2016";"273525762";"сентябрь";"356";
"222";"Северо-Восточный административный округ";"2016";"276054035";"сентябрь";"491";
"223";"Северо-Западный административный округ";"2016";"276071428";"сентябрь";"322";
"224";"Юго-Восточный административный округ";"2016";"276077944";"сентябрь";"436";
"225";"Юго-Западный административный округ";"2016";"276083983";"сентябрь";"328";
"226";"Западный административный округ";"2016";"276087264";"сентябрь";"400";
"227";"Восточный административный округ";"2016";"276091401";"сентябрь";"458";
"228";"Южный административный округ";"2016";"276095541";"сентябрь";"401";
"229";"Северный административный округ";"2016";"276101525";"сентябрь";"296";
"230";"Зеленоградский административный округ";"2016";"276107484";"сентябрь";"92";
"231";"Троицкий и Новомосковский административные  округа";"2016";"276121695";"сентябрь";"252";
"232";"Центральный административный округ";"2016";"279239447";"Октябрь";"395";
"233";"Северо-Восточный административный округ";"2016";"279239714";"Октябрь";"386";
"234";"Северо-Западный административный округ";"2016";"279239900";"Октябрь";"341";
"235";"Юго-Восточный административный округ";"2016";"279239997";"Октябрь";"465";
"236";"ЮгоЗападный административный округ";"2016";"279240135";"Октябрь";"402";
"237";"Западный административный округ";"2016";"279240521";"Октябрь";"435";
"238";"Восточный административный округ";"2016";"279240618";"Октябрь";"568";
"239";"Южный административный округ";"2016";"279246265";"Октябрь";"488";
"240";"Северный административный округ";"2016";"279246495";"Октябрь";"372";
"241";"Зеленоградский административный округ";"2016";"279246665";"Октябрь";"109";
"242";"Троицкий и Новомосковский административные округа";"2016";"279246864";"Октябрь";"293";
"243";"Центральный административный округ ";"2016";"281867894";"Ноябрь";"342";
"244";"Северо-Восточный административный округ";"2016";"281867895";"Ноябрь";"392";
"245";"Северо-Западный административный округ";"2016";"281867896";"Ноябрь";"329";
"246";"Юго-Восточный административный округ";"2016";"281867897";"Ноябрь";"458";
"247";"Юго-западный административный округ";"2016";"281867898";"Ноябрь";"370";
"248";"Западный административный округ";"2016";"281867899";"Ноябрь";"453";
"249";"Восточный административный округ";"2016";"281867959";"Ноябрь";"567";
"250";"Южный административный округ";"2016";"281867982";"Ноябрь";"458";
"251";"Северный административный округ";"2016";"281868027";"Ноябрь";"328";
"252";"Зеленоградский административный округ";"2016";"281868066";"Ноябрь";"104";
"253";"Троицкий и Новомосковский административные округа";"2016";"281868119";"Ноябрь";"279";
"254";"Центральный административный округ";"2016";"282670884";"Декабрь";"392";
"255";"Северо-Восточный административный округ";"2016";"282670907";"Декабрь";"420";
"256";"Северо-Западный административный округ";"2016";"282670930";"Декабрь";"372";
"257";"Юго-Восточный административный округ";"2016";"282670941";"Декабрь";"541";
"258";"Юго-западный административный округ";"2016";"282670960";"Декабрь";"424";
"259";"Западный административный округ";"2016";"282670980";"Декабрь";"493";
"260";"Восточный административный округ";"2016";"282671006";"Декабрь";"555";
"261";"Южный административный округ";"2016";"282671026";"Декабрь";"536";
"262";"Северный административный округ";"2016";"282671057";"Декабрь";"412";
"263";"Зеленоградский административный округ";"2016";"282671096";"Декабрь";"119";
"264";"Троицкий и Новомосковский административные округа";"2016";"282671125";"Декабрь";"301";
"265";"Центральный административный округ";"2017";"284507333";"Январь";"419";
"266";"Северо-Восточный административный округ";"2017";"284507339";"Январь";"484";
"267";"Северо-Западный административный округ";"2017";"284507341";"Январь";"368";
"268";"Юго-Восточный административный округ";"2017";"284507342";"Январь";"579";
"269";"Юго-Западный административный округ";"2017";"284507344";"Январь";"514";
"270";"Западный административный округ";"2017";"284507345";"Январь";"546";
"271";"Восточный административный округ";"2017";"284507346";"Январь";"647";
"272";"Южный административный округ";"2017";"284507348";"Январь";"617";
"273";"Северный административный округ";"2017";"284507349";"Январь";"435";
"274";"Зеленоградский административный округ";"2017";"284507351";"Январь";"161";
"275";"Троицкий и Новомосковский административные  округа";"2017";"284507352";"Январь";"311";
"276";"Центральный административный округ";"2017";"323477492";"Февраль";"355";
"277";"Северо-Восточный административный округ ";"2017";"323477493";"Февраль";"460";
"278";"Северо-Западный административный округ ";"2017";"323477494";"Февраль";"332";
"279";"Юго-Восточный административный округ ";"2017";"323477495";"Февраль";"447";
"280";"Юго-Западный административный округ ";"2017";"323528776";"Февраль";"514";
"281";"Западный административный округ ";"2017";"323528777";"Февраль";"546";
"282";"Восточный административный округ ";"2017";"323528778";"Февраль";"647";
"283";"Южный административный округ ";"2017";"323528779";"Февраль";"617";
"284";"Северный административный округ ";"2017";"323528780";"Февраль";"435";
"285";"Зеленоградский административный округ ";"2017";"323528781";"Февраль";"161";
"286";"Троицкий и Новомосковский административные округ а";"2017";"323528782";"Февраль";"311";
"287";"Центральный административный округ";"2017";"334978972";"Март";"375";
"288";"Северо-Восточный административный округ";"2017";"334978974";"Март";"407";
"289";"Северо-Западный административный округ";"2017";"334978975";"Март";"338";
"290";"Юго=Восточный административный округ";"2017";"334978976";"Март";"529";
"291";"Юго-Западный административный округ";"2017";"334978977";"Март";"400";
"292";"Западный административный округ";"2017";"334978978";"Март";"529";
"293";"Восточный административный округ";"2017";"334978980";"Март";"610";
"294";"Южный административный округ";"2017";"334978981";"Март";"543";
"295";"Северный административный округ";"2017";"334978983";"Март";"400";
"296";"Зеленоградский административный округ";"2017";"334978984";"Март";"132";
"297";"Троицкий и Новомосковский административные округа";"2017";"334978986";"Март";"280";
"298";"Центральный административный округ";"2017";"400641872";"Апрель";"439";
"299";"Северо-Восточный административный округ";"2017";"400642015";"Апрель";"515";
"300";"Северо-Западный административный округ";"2017";"400642116";"Апрель";"412";
"301";"Юго-Восточный административный округ";"2017";"401286172";"Апрель";"629";
"302";"Юго-Западный административный округ";"2017";"401286813";"Апрель";"489";
"303";"Западный административный округ";"2017";"401288890";"Апрель";"541";
"304";"Восточный административный округ";"2017";"401289827";"Апрель";"698";
"305";"Южный административный округ";"2017";"401290297";"Апрель";"684";
"306";"Северный административный округ";"2017";"401294428";"Апрель";"435";
"307";"Зеленоградский административный округ";"2017";"401295003";"Апрель";"114";
"308";"Троицкий и Новомосковский административные округа";"2017";"401295700";"Апрель";"409";
"309";"Центральный административный округ";"2017";"423648124";"Май";"458";
"310";"Северо-Восточный административный округ";"2017";"423649125";"Май";"526";
"311";"Северо-Западный административный округ";"2017";"423650127";"Май";"430";
"312";"Юго-Восточный административный округ";"2017";"423651128";"Май";"562";
"313";"Юго-Западный административный округ";"2017";"423652118";"Май";"501";
"314";"Западный административный округ";"2017";"423652633";"Май";"528";
