"global_id";"ID";"Year";"UnemployedMen";"UnemployedWomen";"UnemployedYoung";"UnemployedDisabled";"UnemployedTotal";"Period";
"39809862";"1";"2001";"8896";"25762";"6696";"824";"34658";"Декабрь";
"64592413";"3";"2003";"8679";"24967";"6226";"1155";"33646";"Декабрь";
"64592414";"4";"2004";"9822";"25239";"7318";"1411";"35061";"Декабрь";
"64592415";"5";"2005";"10844";"23597";"6890";"1531";"34441";"Декабрь";
"64592416";"6";"2006";"11041";"22928";"6604";"1671";"33969";"Декабрь";
"64592417";"7";"2007";"7884";"14837";"3911";"1449";"22721";"Декабрь";
"64592418";"8";"2008";"8316";"14550";"4314";"1477";"22866";"Декабрь";
"64592419";"9";"2009";"26174";"33775";"12522";"2425";"59949";"Декабрь";
"64592420";"10";"2010";"20298";"25952";"7997";"2118";"46250";"Декабрь";
"64592421";"11";"2011";"17653";"22924";"6368";"1708";"40577";"Декабрь";
"64592422";"13";"2012";"17906";"23266";"6237";"1697";"41172";"Февраль";
"273573574";"2";"2002";"8315";"27629";"7004";"1138";"35944";"Декабрь";
"273573575";"12";"2012";"18012";"23806";"6413";"1734";"41818";"Январь";
"273573576";"14";"2012";"17357";"22485";"5929";"1659";"39842";"Март";
"273573577";"15";"2012";"16886";"21839";"5777";"1558";"38725";"Апрель";
"273573578";"16";"2012";"15650";"20411";"5179";"1449";"36061";"Май";
"273573579";"17";"2012";"14447";"19060";"4608";"1373";"33507";"Июнь";
"273573580";"18";"2012";"13740";"18328";"4460";"1362";"32068";"Июль";
"273573581";"19";"2012";"13111";"17766";"4314";"1301";"30877";"Август";
"273573582";"20";"2012";"12446";"16825";"4163";"1228";"29271";"Сентябрь";
"273573583";"21";"2012";"11746";"16220";"4035";"1157";"27966";"Октябрь";
"273573584";"22";"2012";"11266";"15701";"3881";"1102";"26967";"Ноябрь";
"273573585";"23";"2012";"11497";"16076";"3915";"1107";"27573";"Декабрь";
"273573587";"25";"2013";"11378";"16718";"3770";"1114";"28096";"Январь";
"273573588";"26";"2013";"11802";"17194";"4020";"1157";"28996";"Февраль";
"273573589";"27";"2013";"11695";"16982";"3881";"1130";"28677";"Март";
"273573590";"28";"2013";"11607";"16463";"3664";"1089";"28070";"Апрель";
"273573591";"29";"2013";"11180";"15900";"3396";"1074";"27080";"Май";
"273573592";"30";"2013";"10753";"15159";"3101";"1014";"25912";"Июнь";
"273573593";"31";"2013";"10410";"14784";"3078";"988";"25194";"Июль";
"273573594";"32";"2013";"10246";"14493";"3135";"995";"24739";"Август";
"273573595";"33";"2013";"9873";"13997";"3083";"989";"23870";"Сентябрь";
"273573596";"34";"2013";"9771";"13749";"3157";"983";"23520";"Октябрь";
"273573597";"35";"2013";"9829";"13869";"3166";"996";"23698";"Ноябрь";
"273573598";"36";"2013";"10089";"14370";"3213";"1040";"24459";"Декабрь";
"273573600";"38";"2014";"10175";"14740";"3172";"1050";"24915";"Январь";
"273573601";"39";"2014";"10512";"14914";"3372";"1044";"25426";"Февраль";
"273573602";"40";"2014";"10344";"14569";"3275";"1020";"24913";"Март";
"273573603";"41";"2014";"10455";"14520";"3282";"1032";"24975";"Апрель";
"273573604";"42";"2014";"10222";"14229";"3114";"1043";"24451";"Май";
"273573605";"43";"2014";"9782";"13761";"2926";"989";"23543";"Июнь";
"273573606";"44";"2014";"9732";"13683";"2948";"979";"23415";"Июль";
"273573607";"45";"2014";"9756";"13657";"2987";"942";"23413";"Август";
"273573608";"46";"2014";"9724";"13464";"3051";"916";"23188";"Сентябрь";
"273573609";"47";"2014";"9934";"13699";"3184";"895";"23633";"Октябрь";
"273573610";"48";"2014";"10606";"14491";"3459";"925";"25097";"Ноябрь";
"273573611";"49";"2014";"12018";"16611";"4108";"1051";"28629";"Декабрь";
"273573613";"51";"2015";"12233";"17039";"4106";"1001";"29272";"Январь";
"273573614";"52";"2015";"13465";"18080";"4645";"1028";"31545";"Февраль";
"273573615";"53";"2015";"14253";"18681";"5072";"1014";"32934";"Март";
"273573616";"54";"2015";"15159";"19859";"5385";"1052";"35018";"Апрель";
"273573617";"55";"2015";"14873";"19407";"5131";"1042";"34280";"Май";
"273573618";"56";"2015";"14935";"19782";"5140";"969";"34717";"Июнь";
"273573619";"57";"2015";"15208";"19910";"5162";"986";"35118";"Июль";
"273573620";"58";"2015";"15232";"19966";"5312";"996";"35198";"Август";
"273573621";"59";"2015";"15321";"20687";"5649";"956";"36008";"Сентябрь";
"273573622";"60";"2015";"15730";"21556";"5829";"1020";"37286";"Октябрь";
"273573623";"61";"2015";"16688";"22881";"6108";"1055";"39569";"Ноябрь";
"273573624";"62";"2015";"18615";"25431";"6817";"1128";"44046";"Декабрь";
"273573626";"64";"2016";"18477";"25062";"6368";"1364";"43539";"Январь";
"273573627";"65";"2016";"19819";"25758";"6859";"1335";"45577";"Февраль";
"273573628";"66";"2016";"20501";"25725";"6847";"1330";"46226";"Март";
"273573629";"67";"2016";"21035";"25736";"6900";"1281";"46771";"Апрель";
"273573630";"68";"2016";"20283";"24839";"6433";"1237";"45122";"Май";
"273573631";"69";"2016";"19624";"24086";"6066";"1196";"43710";"Июнь";
"273573632";"70";"2016";"18727";"23132";"5732";"1188";"41859";"Июль";
"273573633";"71";"2016";"17811";"22353";"5444";"1142";"40164";"Август";
"281593242";"72";"2016";"16958";"21594";"5187";"1127";"38552";"Сентябрь";
"281593353";"73";"2016";"16242";"21151";"4969";"1104";"37393";"Октябрь";
"282190960";"74";"2016";"15481";"19928";"4684";"1083";"35409";"Ноябрь";
"282746341";"75";"2016";"16054";"20833";"4794";"1075";"36887";"Декабрь";
"323476240";"76";"2017";"15253";"20006";"4505";"1007";"35259";"Январь";
"338496741";"77";"2017";"15459";"19364";"4511";"980";"34823";"Февраль";
"338497586";"78";"2017";"15155";"18478";"4365";"927";"33633";"Март";
"419018595";"79";"2017";"14703";"17885";"4113";"869";"32588";"Апрель";
"476885649";"80";"2017";"13696";"16874";"3726";"797";"30570";"Май";
"615575599";"81";"2017";"13169";"16231";"3484";"776";"29400";"Июнь";
"638722421";"82";"2017";"12902";"15983";"3545";"756";"28885";"Июль";
"671788231";"83";"2017";"12498";"15489";"3571";"738";"27987";"Август";
"671793397";"84";"2017";"12129";"15554";"3557";"722";"27683";"Сентябрь";
"671801829";"85";"2017";"11971";"15446";"3512";"736";"27417";"Октябрь";
"841752797";"86";"2017";"12054";"15554";"3438";"714";"27608";"Ноябрь";
"841752805";"87";"2017";"12971";"17109";"3676";"722";"30080";"Декабрь";
"843989666";"88";"2018";"12782";"16809";"3537";"708";"29591";"Январь";
"858378159";"89";"2018";"12993";"16603";"3442";"658";"29596";"Февраль";
"861113574";"90";"2018";"12793";"16301";"3309";"638";"29094";"Март";
"863485150";"91";"2018";"12527";"15988";"3188";"599";"28515";"Апрель";
"880655734";"92";"2018";"11622";"15020";"2816";"575";"26642";"Май";
"880655751";"93";"2018";"11149";"14341";"2639";"526";"25490";"Июнь";
"886051152";"94";"2018";"10869";"13881";"2637";"501";"24750";"Июль";
"886440501";"95";"2018";"10745";"13837";"2735";"503";"24582";"Август";
"894075540";"96";"2018";"10651";"14043";"2829";"472";"24694";"Сентябрь";
"896740236";"97";"2018";"10763";"14375";"2892";"477";"25138";"Октябрь";
"904345746";"98";"2018";"11080";"14610";"2911";"467";"25690";"Ноябрь";
"909303094";"99";"2018";"12063";"15815";"3077";"527";"27878";"Декабрь";
"918869065";"100";"2019";"12225";"16078";"2960";"533";"28303";"Январь";
"918869066";"101";"2019";"13123";"16904";"3103";"575";"30027";"Февраль";
"918869067";"102";"2019";"13433";"17164";"3102";"593";"30597";"Март";
"926094627";"103";"2019";"13803";"17319";"3060";"593";"31122";"Апрель";
"933200250";"104";"2019";"12818";"16221";"2711";"577";"29039";"Май";
"933200260";"105";"2019";"12260";"15769";"2545";"576";"28029";"Июнь";
